,DateTime,Temperature,SensorTemp,SensorMoist
87,2017-10-06 10:20:01.300077,90.75,23255.81,13157.0
88,2017-10-06 10:20:02.339621,91.25,24390.24,13157.0
89,2017-10-06 10:20:03.363523,91.5,24390.24,13157.0
90,2017-10-06 10:20:04.402843,90.75,24390.24,13157.0
91,2017-10-06 10:20:05.442647,91.25,25000.0,12987.0
92,2017-10-06 10:20:06.481905,91.25,23809.52,12987.0
93,2017-10-06 10:20:07.521341,91.0,24390.24,13157.0
94,2017-10-06 10:20:08.545056,91.0,22727.27,13333.0
95,2017-10-06 10:20:09.584467,91.0,21276.6,12820.0
96,2017-10-06 10:20:10.623784,91.0,28571.43,13333.0
97,2017-10-06 10:20:11.663317,90.75,28571.43,12987.0
98,2017-10-06 10:20:12.687047,90.5,24390.24,12987.0
99,2017-10-06 10:20:13.726689,91.0,24390.24,13157.0
100,2017-10-06 10:20:14.765898,91.0,23809.52,12987.0
101,2017-10-06 10:20:15.805106,90.5,23809.52,12987.0
102,2017-10-06 10:20:16.844074,90.25,24390.24,13157.0
103,2017-10-06 10:20:17.867733,90.75,25641.03,13157.0
104,2017-10-06 10:20:18.907027,90.5,26315.79,13157.0
105,2017-10-06 10:20:19.946379,90.0,26315.79,13333.0
106,2017-10-06 10:20:20.985982,90.75,24390.24,13157.0
107,2017-10-06 10:20:22.025155,90.25,25000.0,13157.0
108,2017-10-06 10:20:23.048729,90.5,25000.0,13333.0
109,2017-10-06 10:20:24.088318,90.0,25000.0,13157.0
110,2017-10-06 10:20:25.127611,90.25,20833.33,13698.0
111,2017-10-06 10:20:26.166909,90.25,23809.52,12987.0
112,2017-10-06 10:20:27.206126,90.5,24390.24,13157.0
113,2017-10-06 10:20:28.229750,90.5,21276.6,13157.0
114,2017-10-06 10:20:29.269319,89.75,23255.81,13333.0
115,2017-10-06 10:20:30.308588,90.0,25641.03,12987.0
116,2017-10-06 10:20:31.348073,90.25,23809.52,12987.0
117,2017-10-06 10:20:32.371232,90.5,22222.22,13333.0
118,2017-10-06 10:20:33.411036,90.0,24390.24,13157.0
119,2017-10-06 10:20:34.450081,90.25,27777.78,13157.0
120,2017-10-06 10:20:35.489342,89.75,28571.43,13333.0
121,2017-10-06 10:20:36.528364,90.25,24390.24,12987.0
122,2017-10-06 10:20:37.551867,90.0,24390.24,13157.0
123,2017-10-06 10:20:38.590630,90.0,23809.52,12987.0
124,2017-10-06 10:20:39.630216,90.0,27027.03,13157.0
125,2017-10-06 10:20:40.669766,90.0,27777.78,13157.0
126,2017-10-06 10:20:41.709337,89.5,24390.24,13333.0
127,2017-10-06 10:20:42.732979,90.0,27027.03,13157.0
128,2017-10-06 10:20:43.772295,89.75,24390.24,12987.0
129,2017-10-06 10:20:44.811756,89.75,21739.13,13157.0
